url,centroid_sim
http://yonnelautre.fr/spip.php?auteur4548=&lang=fr,0.89565253
http://www.lesmotsdelesprit.com/penseacutee-du-jour/category/chagrin,0.8762109
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A28&f[1]=annee%3A61&f[2]=annee%3A533&f[3]=annee%3A537&f[4]=annee%3A565&f[5]=annee%3A581&f[6]=annee%3A617&f[7]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A28&f[1]=annee%3A83&f[2]=annee%3A257&f[3]=annee%3A550&f[4]=annee%3A565&f[5]=annee%3A590&f[6]=annee%3A617&f[7]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A48&f[1]=annee%3A257&f[2]=annee%3A258&f[3]=annee%3A550&f[4]=annee%3A565&f[5]=annee%3A584&f[6]=annee%3A587&f[7]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A29&f[1]=annee%3A126&f[2]=annee%3A257&f[3]=annee%3A519&f[4]=annee%3A550&f[5]=annee%3A603&f[6]=dossiers%3A14&f[7]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A61&f[1]=annee%3A83&f[2]=annee%3A258&f[3]=annee%3A533&f[4]=annee%3A576&f[5]=annee%3A590&f[6]=annee%3A603&f[7]=annee%3A617&f[8]=annee%3A644&f[9]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A48&f[1]=annee%3A61&f[2]=annee%3A83&f[3]=annee%3A258&f[4]=annee%3A519&f[5]=annee%3A533&f[6]=annee%3A550&f[7]=annee%3A600&f[8]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A48&f[1]=annee%3A61&f[2]=annee%3A193&f[3]=annee%3A533&f[4]=annee%3A581&f[5]=annee%3A584&f[6]=annee%3A590&f[7]=annee%3A600&f[8]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A61&f[1]=annee%3A519&f[2]=annee%3A550&f[3]=annee%3A581&f[4]=annee%3A587&f[5]=annee%3A600&f[6]=annee%3A603&f[7]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A28&f[1]=annee%3A519&f[2]=annee%3A550&f[3]=annee%3A565&f[4]=annee%3A590&f[5]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A550&f[1]=annee%3A565&f[2]=annee%3A576&f[3]=annee%3A581&f[4]=annee%3A617&f[5]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A48&f[1]=annee%3A256&f[2]=annee%3A550&f[3]=annee%3A584&f[4]=annee%3A590&f[5]=annee%3A600&f[6]=annee%3A603&f[7]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A61&f[1]=annee%3A126&f[2]=annee%3A537&f[3]=annee%3A550&f[4]=annee%3A581&f[5]=annee%3A587&f[6]=annee%3A600&f[7]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A48&f[1]=annee%3A256&f[2]=annee%3A258&f[3]=annee%3A565&f[4]=annee%3A576&f[5]=annee%3A603&f[6]=annee%3A644&f[7]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A29&f[1]=annee%3A126&f[2]=annee%3A258&f[3]=annee%3A584&f[4]=annee%3A590&f[5]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A61&f[1]=annee%3A258&f[2]=annee%3A587&f[3]=annee%3A617&f[4]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A193&f[1]=annee%3A533&f[2]=annee%3A600&f[3]=annee%3A644&f[4]=dossiers%3A14&f[5]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A533&f[1]=annee%3A590&f[2]=annee%3A603&f[3]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A83&f[1]=annee%3A258&f[2]=annee%3A565&f[3]=annee%3A587&f[4]=annee%3A600&f[5]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A83&f[1]=annee%3A533&f[2]=annee%3A576&f[3]=annee%3A584&f[4]=annee%3A600&f[5]=annee%3A617&f[6]=dossiers%3A14&f[7]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A48&f[1]=annee%3A83&f[2]=annee%3A257&f[3]=annee%3A258&f[4]=annee%3A519&f[5]=annee%3A576&f[6]=annee%3A590&f[7]=annee%3A603&f[8]=dossiers%3A14&f[9]=langues%3A84,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A48&f[1]=annee%3A258&f[2]=annee%3A537&f[3]=annee%3A590&f[4]=annee%3A617&f[5]=dossiers%3A14,0.8736609
http://cepidc.inserm.fr/publications-scientifiques?f[0]=annee%3A48&f[1]=annee%3A519&f[2]=annee%3A533&f[3]=annee%3A550&f[4]=annee%3A600&f[5]=dossiers%3A14,0.8736609
http://maisouvaleweb.fr/captologie-nudge-dans-les-biais-des-armes-de-persuasion-massive,0.8717544
"http://viechretienne.fr/article/resister-au-bavardage-mediatique,1266.php",0.8711915
http://mimesis-sfuchs.com/2016/10/07/les-trois-yeux-de-la-connaissance-partie-i,0.8711586
http://cimbcc.org/tag/bibliotheque,0.86637366
http://bibliotheque.braille.be/fr/catalogue/litterature/romans/romans-policiers-thrillers/101218-combustion,0.865152
http://www.ivoire-juriste.com/2015/09/cours-de-droit-penal-general-ivoirien-la-responsabilite-penale.html,0.86492616
